番組ID,番組分類,ゲーム種別,番組名,バングミメイ,番組名補,バングミメイホ,放映話数,年齢制限,放映開始日
3735,"オリジナルビデオアニメーション","","アイドル・ファイト スーチーパイ♡II ~いかにも第一話ってカンジ?~","アイドルファイトスーチーパイツーイカニモダイイチワッテカンジ","","","1","","1996-04-20"
5441,"ゲーム","","アイドルプロジェクト","アイドルプロジェクト(ゲーム1)","","","","","1994-09-22"
5442,"ゲーム","","アイドルプロジェクト2","アイドルプロジェクト(ゲーム2)","","","","","1995-12-22"
1803,"オリジナルビデオアニメーション","","アイドル・プロジェクト[第1期]","アイドルプロジェクト1","","","2","","1995-09-22"
4830,"オリジナルビデオアニメーション","","アイドル・プロジェクト[第2期]","アイドルプロジェクト2","","","2","","1997-03-28"
13,"オリジナルビデオアニメーション","","アイドル防衛隊ハミングバード","アイドルボウエイタイハミングバード","","","1","","1993-09-01"
1765,"オリジナルビデオアニメーション","","アイドル防衛隊ハミングバード'94夏","アイドルボウエイタイハミングバード94ナツ","","","1","","1994-06-01"
1766,"オリジナルビデオアニメーション","","アイドル防衛隊ハミングバード'95 風の唄","アイドルボウエイタイハミングバード9５カゼノウタ","","","1","","1995-06-01"
1932,"オリジナルビデオアニメーション","","アイドル防衛隊ハミングバード'95 夢の場所へ","アイドルボウエイタイハミングバード9５ユメノバショヘ","","","1","","1995-12-01"
13595,"テレビアニメーション","","THE iDOLM@STER","アイドルマスター","","","25","","2011-07-08"
7769,"ゲーム","育成・恋愛シミュレーション","THE iDOLM@STER","アイドルマスター","","","","","2005-07-26"
10749,"ゲーム","育成・恋愛シミュレーション","THE iDOLM@STER SP","アイドルマスターエスピー","","","","12才以上","2009-02-19"
18152,"ゲーム","","アイドルマスター SideM","アイドルマスターサイドエム","","","","","2014-07-17"
17277,"ゲーム","音楽アクション","アイドルマスター シャイニーTV","アイドルマスターシャイニーティービー","","","","","2013-10-02"
15666,"ゲーム","音楽アクション","アイドルマスター シャイニーフェスタ","アイドルマスターシャイニーフェスタ","ハニーサウンド/ファンキーノート/グルーヴィーチューン","ハニーサウンドファンキーノートグルーヴィーチューン","","12才以上","2012-10-25"
17711,"テレビアニメーション","","アイドルマスター シンデレラガールズ","アイドルマスターシンデレラガールズ","THE IDOLM@STER CINDERELLA GIRLS","アイドルマスターシンデレラガールズ","25","","2015-01-10"
14556,"ゲーム","その他","アイドルマスター シンデレラガールズ","アイドルマスターシンデレラガールズ","THE IDOLM@STER CINDERELLA GIRLS","アイドルマスターシンデレラガールズ","","","2011-11-28"
18490,"ゲーム","音楽アクション","アイドルマスター シンデレラガールズ スターライトステージ","アイドルマスターシンデレラガールズスターライトステージ","","","","","2015-09-03"
12780,"ラジオ","","THE IDOLM@STER STATION!!!","アイドルマスターステーション","","","","","2009-08-02"
17728,"ラジオ","","THE IDOLM@STER STATION!!+","アイドルマスターステーションプラス","","","","","2013-04-01"
8856,"テレビアニメーション","","アイドルマスター XENOGLOSSIA","アイドルマスターゼノグラシア","","","26","","2007-04-03"
8890,"Webラジオ","","アイドルマスター XENOGLOSSIA 春香とやよいの弥生式らじお","アイドルマスターゼノグラシアハルカトヤヨイノヤヨイシキラジオ","","","51","","2007-03-09"
13703,"ゲーム","育成・恋愛シミュレーション","THE IDOLM@STER2","アイドルマスターツー","","","","12才以上","2011-02-24"
12052,"ゲーム","アドベンチャー","THE IDOLM@STER DearlyStars","アイドルマスターディアリースターズ","","","","15才以上","2009-09-17"
17298,"Webラジオ","","アイドルマスター P.S.プロデューサー","アイドルマスターピーエスプロデューサー","","","49","","2008-10-15"
